warehouse,sku,stock,reorder_level,last_updated
WH001,SKU-0001,383,74,2024-01-30 00:00:00
WH001,SKU-0002,136,46,2024-01-30 00:00:00
WH001,SKU-0003,434,171,2024-01-30 00:00:00
WH001,SKU-0004,241,62,2024-01-30 00:00:00
WH001,SKU-0005,946,176,2024-01-30 00:00:00
WH001,SKU-0006,436,90,2024-01-30 00:00:00
WH001,SKU-0007,476,175,2024-01-30 00:00:00
WH001,SKU-0008,162,32,2024-01-30 00:00:00
WH001,SKU-0009,128,50,2024-01-30 00:00:00
WH001,SKU-0010,518,105,2024-01-30 00:00:00
WH001,SKU-0011,204,63,2024-01-30 00:00:00
WH001,SKU-0012,396,86,2024-01-30 00:00:00
WH001,SKU-0013,91,39,2024-01-30 00:00:00
WH001,SKU-0014,660,122,2024-01-30 00:00:00
WH001,SKU-0015,80,38,2024-01-30 00:00:00
WH001,SKU-0016,225,114,2024-01-30 00:00:00
WH001,SKU-0017,186,33,2024-01-30 00:00:00
WH001,SKU-0018,130,51,2024-01-30 00:00:00
WH001,SKU-0019,110,31,2024-01-30 00:00:00
WH001,SKU-0020,333,109,2024-01-30 00:00:00
WH002,SKU-0001,569,118,2024-01-30 00:00:00
WH002,SKU-0002,515,75,2024-01-30 00:00:00
WH002,SKU-0003,388,115,2024-01-30 00:00:00
WH002,SKU-0004,129,123,2024-01-30 00:00:00
WH002,SKU-0005,552,152,2024-01-30 00:00:00
WH002,SKU-0006,98,37,2024-01-30 00:00:00
WH002,SKU-0007,414,110,2024-01-30 00:00:00
WH002,SKU-0008,85,42,2024-01-30 00:00:00
WH002,SKU-0009,153,85,2024-01-30 00:00:00
WH002,SKU-0010,143,43,2024-01-30 00:00:00
WH002,SKU-0011,73,113,2024-01-30 00:00:00
WH002,SKU-0012,423,143,2024-01-30 00:00:00
WH002,SKU-0013,125,118,2024-01-30 00:00:00
WH002,SKU-0014,676,132,2024-01-30 00:00:00
WH002,SKU-0015,1039,143,2024-01-30 00:00:00
WH002,SKU-0016,88,68,2024-01-30 00:00:00
WH002,SKU-0017,204,109,2024-01-30 00:00:00
WH002,SKU-0018,61,38,2024-01-30 00:00:00
WH002,SKU-0019,339,147,2024-01-30 00:00:00
WH002,SKU-0020,332,81,2024-01-30 00:00:00
WH003,SKU-0001,207,62,2024-01-30 00:00:00
WH003,SKU-0002,327,131,2024-01-30 00:00:00
WH003,SKU-0003,95,44,2024-01-30 00:00:00
WH003,SKU-0004,552,118,2024-01-30 00:00:00
WH003,SKU-0005,782,140,2024-01-30 00:00:00
WH003,SKU-0006,156,41,2024-01-30 00:00:00
WH003,SKU-0007,187,168,2024-01-30 00:00:00
WH003,SKU-0008,170,76,2024-01-30 00:00:00
WH003,SKU-0009,123,39,2024-01-30 00:00:00
WH003,SKU-0010,111,45,2024-01-30 00:00:00
WH003,SKU-0011,143,72,2024-01-30 00:00:00
WH003,SKU-0012,286,58,2024-01-30 00:00:00
WH003,SKU-0013,781,168,2024-01-30 00:00:00
WH003,SKU-0014,350,119,2024-01-30 00:00:00
WH003,SKU-0015,413,158,2024-01-30 00:00:00
WH003,SKU-0016,161,79,2024-01-30 00:00:00
WH003,SKU-0017,239,111,2024-01-30 00:00:00
WH003,SKU-0018,652,115,2024-01-30 00:00:00
WH003,SKU-0019,108,44,2024-01-30 00:00:00
WH003,SKU-0020,113,144,2024-01-30 00:00:00
WH004,SKU-0001,342,169,2024-01-30 00:00:00
WH004,SKU-0002,273,80,2024-01-30 00:00:00
WH004,SKU-0003,153,91,2024-01-30 00:00:00
WH004,SKU-0004,439,130,2024-01-30 00:00:00
WH004,SKU-0005,184,41,2024-01-30 00:00:00
WH004,SKU-0006,134,79,2024-01-30 00:00:00
WH004,SKU-0007,574,164,2024-01-30 00:00:00
WH004,SKU-0008,92,33,2024-01-30 00:00:00
WH004,SKU-0009,472,115,2024-01-30 00:00:00
WH004,SKU-0010,247,156,2024-01-30 00:00:00
WH004,SKU-0011,596,149,2024-01-30 00:00:00
WH004,SKU-0012,201,33,2024-01-30 00:00:00
WH004,SKU-0013,389,128,2024-01-30 00:00:00
WH004,SKU-0014,379,53,2024-01-30 00:00:00
WH004,SKU-0015,292,90,2024-01-30 00:00:00
WH004,SKU-0016,153,72,2024-01-30 00:00:00
WH004,SKU-0017,166,45,2024-01-30 00:00:00
WH004,SKU-0018,97,33,2024-01-30 00:00:00
WH004,SKU-0019,219,43,2024-01-30 00:00:00
WH004,SKU-0020,79,53,2024-01-30 00:00:00
WH005,SKU-0001,267,75,2024-01-30 00:00:00
WH005,SKU-0002,156,97,2024-01-30 00:00:00
WH005,SKU-0003,212,44,2024-01-30 00:00:00
WH005,SKU-0004,141,48,2024-01-30 00:00:00
WH005,SKU-0005,288,81,2024-01-30 00:00:00
WH005,SKU-0006,266,177,2024-01-30 00:00:00
WH005,SKU-0007,261,83,2024-01-30 00:00:00
WH005,SKU-0008,154,44,2024-01-30 00:00:00
WH005,SKU-0009,136,119,2024-01-30 00:00:00
WH005,SKU-0010,115,117,2024-01-30 00:00:00
WH005,SKU-0011,269,122,2024-01-30 00:00:00
WH005,SKU-0012,375,114,2024-01-30 00:00:00
WH005,SKU-0013,792,121,2024-01-30 00:00:00
WH005,SKU-0014,161,84,2024-01-30 00:00:00
WH005,SKU-0015,520,82,2024-01-30 00:00:00
WH005,SKU-0016,233,102,2024-01-30 00:00:00
WH005,SKU-0017,137,40,2024-01-30 00:00:00
WH005,SKU-0018,197,41,2024-01-30 00:00:00
WH005,SKU-0019,125,54,2024-01-30 00:00:00
WH005,SKU-0020,126,40,2024-01-30 00:00:00
