sku,name,category,price
SKU-0001,Groceries Item 0001,Groceries,53.85
SKU-0002,Groceries Item 0002,Groceries,54.46
SKU-0003,Toys Item 0003,Toys,55.97
SKU-0004,Groceries Item 0004,Groceries,54.78
SKU-0005,Groceries Item 0005,Groceries,54.99
SKU-0006,Groceries Item 0006,Groceries,54.4
SKU-0007,Groceries Item 0007,Groceries,53.7
SKU-0008,Groceries Item 0008,Groceries,56.17
SKU-0009,Groceries Item 0009,Groceries,57.08
SKU-0010,Groceries Item 0010,Groceries,56.27
SKU-0011,Electronics Item 0011,Electronics,58.92
SKU-0012,Furniture Item 0012,Furniture,57.16
SKU-0013,Groceries Item 0013,Groceries,54.27
SKU-0014,Furniture Item 0014,Furniture,59.52
SKU-0015,Groceries Item 0015,Groceries,55.66
SKU-0016,Groceries Item 0016,Groceries,55.7
SKU-0017,Toys Item 0017,Toys,55.02
SKU-0018,Clothing Item 0018,Clothing,56.29
SKU-0019,Clothing Item 0019,Clothing,57.01
SKU-0020,Furniture Item 0020,Furniture,58.04
